data,origem,familia_caixa,modelo_caixa_previsao,quantidade_caixas,numero_dia_semana,dia_semana
2025-06-18,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-06-19,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-06-20,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-06-21,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-06-23,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,0,segunda-feira
2025-06-24,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2025-06-25,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-06-26,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-06-27,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-06-28,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-06-30,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,0,segunda-feira
2025-07-01,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2025-07-02,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-07-03,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-07-04,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-07-05,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-07-07,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,0,segunda-feira
2025-07-08,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2025-07-09,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-07-10,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-07-11,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-07-12,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-07-14,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,0,segunda-feira
2025-07-15,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2025-07-16,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-07-17,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-07-18,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-07-19,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-07-21,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,0,segunda-feira
2025-07-22,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2025-07-23,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-07-24,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-07-25,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
